,year,km_driven,owner,seller_type,seats,fuel,transmission,mileage,engine,max_power,selling_price
43,2013.0,86300.0,First Owner,Dealer,5.0,Petrol,Manual,16.8,1497.0,116.3,5149.02
44,2018.0,23300.0,First Owner,Dealer,5.0,Petrol,Automatic,18.5,1197.0,83.14,8177.85
46,2018.0,10300.0,First Owner,Dealer,5.0,Petrol,Manual,23.95,19929.0,67.05,4724.98
47,2014.0,77000.0,First Owner,Dealer,7.0,Diesel,Manual,12.55,2982.0,168.5,18173.01
48,2013.0,99000.0,First Owner,Dealer,7.0,Diesel,Manual,12.99,2494.0,100.0,8480.74
49,2014.0,27800.0,Second Owner,Dealer,5.0,Diesel,Automatic,14.8,2143.0,120.7,17567.24
50,2015.0,49800.0,First Owner,Dealer,5.0,Diesel,Manual,24.7,16140.0,98.63,5149.02
51,2013.0,151000.0,First Owner,Dealer,7.0,Diesel,Manual,13.5,,,13205.72
52,2015.0,54700.0,First Owner,Dealer,5.0,Diesel,Manual,26.0,1498.0,98.6,7269.2
54,,,,Dealer,5.0,Diesel,Manual,,1498.0,98.6,6360.55
56,2016.0,99000.0,First Owner,Dealer,7.0,Diesel,Manual,12.99,2494.0,100.6,11509.57
57,2013.0,33900.0,Second Owner,Dealer,5.0,Diesel,Automatic,17.68,1968.0,174.33,21201.84
58,,25000.0,,Dealer,5.0,Petrol,Automatic,14.28,1798.0,138.03,19263.39
59,2013.0,50000.0,First Owner,Dealer,5.0,Diesel,Automatic,18.53,1968.0,187.74,20474.91
60,2013.0,59000.0,First Owner,Dealer,5.0,Diesel,Automatic,14.84,2143.0,170.0,17264.36
61,2011.0,120000.0,First Owner,Individual,5.0,Diesel,Manual,21.12,1248.0,88.8,3210.56
62,2011.0,110000.0,Third Owner,Individual,5.0,Petrol,Manual,20.36,1197.0,78.9,2301.91
64,2015.0,147000.0,Second Owner,Individual,5.0,Diesel,Manual,26.59,1248.0,74.0,7632.66
65,2017.0,25000.0,Third Owner,Individual,5.0,Petrol,Manual,18.16,1196.0,86.8,7269.2
66,2019.0,,First Owner,Individual,5.0,Petrol,Manual,,1197.0,83.1,7874.97
67,2016.0,40000.0,First Owner,Individual,5.0,Diesel,Manual,22.0,1498.0,108.495,6542.28
68,2015.0,135000.0,First Owner,Individual,5.0,Diesel,Manual,25.1,1498.0,1732.55,7632.66
69,2018.0,30000.0,First Owner,Individual,5.0,Petrol,Automatic,20.51,998.0,67.0,5427.67
70,2017.0,80000.0,First Owner,Individual,5.0,Diesel,Manual,21.66,1498.0,108.62,6057.67
71,2016.0,70000.0,First Owner,Individual,5.0,Diesel,Manual,24.3,1248.0,88.5,9025.93
72,2019.0,9850.0,First Owner,Individual,5.0,Diesel,Automatic,24.3,1248.0,88.5,12418.22
73,2011.0,60000.0,Second Owner,Individual,5.0,Petrol,Manual,20.36,1197.0,78.9,2847.1
74,2016.0,70000.0,First Owner,Individual,5.0,Diesel,Manual,25.2,1248.0,74.0,7632.66
75,2015.0,78000.0,Second Owner,Individual,7.0,Diesel,Manual,12.55,2982.0,168.5,20596.07
77,,120000.0,,Individual,7.0,Petrol,Manual,16.02,1373.0,93.7,5451.9
79,2013.0,170000.0,First Owner,Individual,5.0,Diesel,Manual,20.54,1598.0,103.6,5451.9
81,2015.0,90000.0,First Owner,Individual,5.0,Diesel,Manual,22.77,1498.0,98.59,7390.36
82,2016.0,30000.0,Second Owner,Individual,5.0,Petrol,Automatic,15.71,1998.0,189.0,30288.35
83,2017.0,10000.0,First Owner,Dealer,5.0,Petrol,Manual,23.1,998.0,67.04,5875.93
84,2016.0,49000.0,First Owner,Dealer,5.0,Petrol,Manual,19.02,1198.0,67.05,
85,2016.0,32000.0,First Owner,Dealer,5.0,Petrol,Manual,24.7,796.0,47.3,3816.33
86,2016.0,38000.0,First Owner,Dealer,5.0,Petrol,Manual,24.7,796.0,47.3,
88,2012.0,28000.0,First Owner,Dealer,5.0,Petrol,Manual,19.81,1086.0,68.05,3513.45
90,,44000.0,,Dealer,5.0,LPG,Manual,36.68,998.0,58.2,2725.95
91,2015.0,42000.0,First Owner,Dealer,5.0,Petrol,Manual,16.47,1198.0,1532.81,
92,2015.0,45000.0,Second Owner,Dealer,5.0,Petrol,Manual,19.81,1086.0,1860.73,4252.48
93,2012.0,,Second Owner,Dealer,5.0,Petrol,Manual,,1598.0,103.6,6481.71
94,2009.0,55500.0,First Owner,Dealer,5.0,Petrol,Manual,18.2,998.0,67.1,2120.18
95,2013.0,61500.0,First Owner,Dealer,5.0,Petrol,Manual,18.5,1197.0,82.85,6360.55
96,2016.0,150000.0,First Owner,Individual,5.0,Diesel,Manual,26.59,1248.0,74.0,7269.2
97,2016.0,72000.0,First Owner,Dealer,5.0,Petrol,Automatic,19.1,1197.0,82.0,6845.17
98,2008.0,68000.0,Third Owner,Dealer,5.0,Petrol,Manual,19.7,796.0,46.3,1453.84
99,2017.0,110000.0,First Owner,Individual,5.0,Diesel,Manual,22.54,1396.0,88.73,8783.62
100,,77000.0,,Dealer,5.0,Petrol,Manual,21.79,998.0,67.05,2241.34
101,2010.0,100000.0,Second Owner,Individual,5.0,Diesel,Manual,18.8,18840.0,90.0,2423.07
102,2019.0,10000.0,First Owner,Individual,5.0,Petrol,Manual,21.21,1197.0,81.8,7450.93
103,,100000.0,,Individual,7.0,Petrol,Manual,15.37,1196.0,73.0,3271.14
104,2018.0,35000.0,First Owner,Individual,5.0,Petrol,Manual,21.4,1197.0,83.1,7390.36
105,2014.0,70000.0,Second Owner,Individual,8.0,Diesel,Automatic,11.79,,,7572.09
106,2020.0,5000.0,Second Owner,Individual,5.0,Petrol,Manual,19.0,1194.0,94.68,4846.14
107,2017.0,37800.0,First Owner,Individual,5.0,Petrol,Manual,17.0,1591.0,121.3,10491.88
108,2010.0,114000.0,First Owner,Individual,5.0,Petrol,Manual,14.3,1798.0,160.0,8480.74
109,2010.0,48000.0,First Owner,Individual,5.0,Petrol,Manual,15.8,1172.0,65.0,3634.6
110,2019.0,,First Owner,Individual,7.0,Diesel,Manual,,2179.0,155.0,20596.07
111,2016.0,100000.0,First Owner,Individual,5.0,Diesel,Manual,19.09,1405.0,69.01,4543.25
112,2013.0,150000.0,Second Owner,Individual,5.0,Diesel,Manual,22.32,1582.0,126.32,
113,2013.0,69000.0,First Owner,Individual,5.0,Diesel,Manual,21.9,1396.0,88.76,5476.12
115,2020.0,13000.0,First Owner,Individual,5.0,Petrol,Manual,21.63,998.0,67.04,5754.79
116,2016.0,60000.0,First Owner,Individual,5.0,Diesel,Manual,24.3,1248.0,88.5,9449.96
117,2017.0,40000.0,First Owner,Individual,5.0,Petrol,Manual,20.85,1197.0,83.14,7208.63
118,2017.0,35000.0,First Owner,Individual,5.0,Petrol,Manual,20.51,998.0,67.04,5330.75
120,2014.0,70000.0,Third Owner,Individual,5.0,Diesel,Manual,20.45,1461.0,83.8,4846.14
121,2016.0,50000.0,First Owner,Individual,5.0,Diesel,Manual,19.67,1582.0,126.2,13811.49
122,2017.0,76139.0,First Owner,Individual,5.0,Diesel,Manual,23.0,1498.0,98.96,10298.04
123,2012.0,175000.0,Fourth & Above Owner,Individual,5.0,Diesel,Manual,19.3,1248.0,73.9,4482.68
124,2018.0,25000.0,First Owner,Individual,5.0,Petrol,Manual,23.01,999.0,67.0,4240.37
125,2015.0,40000.0,Second Owner,Individual,5.0,Petrol,Manual,23.1,998.0,67.04,4361.52
126,2008.0,65000.0,Fourth & Above Owner,Individual,5.0,Petrol,Manual,19.7,796.0,46.3,10.45
127,2013.0,90000.0,Second Owner,Individual,7.0,Diesel,Manual,20.77,1248.0,88.76,7572.09
128,2009.0,80000.0,Second Owner,Individual,5.0,Petrol,Manual,17.92,1086.0,62.1,
129,2015.0,110000.0,Second Owner,Individual,7.0,Diesel,Manual,20.77,8648.0,88.76,8480.74
130,2019.0,1303.0,First Owner,Dealer,5.0,Petrol,Manual,17.8,1198.0,86.7,8359.58
131,2018.0,31800.0,First Owner,Dealer,5.0,Diesel,Automatic,17.01,1968.0,188.0,48158.47
132,2019.0,20000.0,First Owner,Dealer,5.0,Petrol,Automatic,22.37,2487.0,214.56,
133,2017.0,45000.0,First Owner,Dealer,5.0,Diesel,Automatic,19.33,1999.0,177.0,38769.08
134,2017.0,17000.0,First Owner,Individual,5.0,Petrol,Automatic,9.5,3604.0,280.0,49672.89
135,2019.0,21000.0,First Owner,Dealer,7.0,Diesel,Automatic,12.83,1999.0,148.31,54519.02
136,2017.0,37000.0,First Owner,Dealer,5.0,Diesel,Automatic,13.5,2987.0,254.79,72692.03
137,2018.0,29500.0,First Owner,Dealer,5.0,Diesel,Automatic,22.48,1995.0,187.74,45917.13
139,2019.0,7500.0,First Owner,Dealer,5.0,Diesel,Automatic,16.78,1995.0,190.0,70268.96
140,2018.0,50000.0,First Owner,Dealer,5.0,Petrol,Automatic,14.67,1798.0,177.46,22595.09
141,2016.0,35000.0,First Owner,Dealer,5.0,Diesel,Automatic,15.0,2143.0,204.0,32711.41
142,2019.0,19000.0,First Owner,Dealer,5.0,Petrol,Automatic,13.96,1451.0,141.0,21201.84
145,2018.0,22000.0,First Owner,Dealer,5.0,Diesel,Automatic,18.0,1969.0,190.0,41192.15
146,2015.0,53000.0,First Owner,Dealer,7.0,Diesel,Automatic,12.07,2967.0,241.4,32105.65
148,2017.0,47000.0,First Owner,Dealer,5.0,Diesel,Automatic,13.5,2987.0,282.0,70874.73
149,2010.0,72200.0,Second Owner,Dealer,5.0,Petrol,Automatic,10.8,2497.0,150.0,11812.45
150,2016.0,49900.0,First Owner,Dealer,5.0,Petrol,Manual,16.3,1797.0,147.5,9752.85
151,2017.0,9000.0,First Owner,Dealer,5.0,Diesel,Automatic,13.6,1999.0,177.0,31802.76
152,2018.0,11000.0,First Owner,Dealer,5.0,Petrol,Manual,17.0,1198.0,108.5,9825.54
153,2011.0,49000.0,First Owner,Individual,5.0,Petrol,Manual,15.04,1598.0,103.6,4543.25
154,2012.0,95000.0,First Owner,Individual,5.0,Petrol,Manual,16.3,1797.0,147.5,6663.44
155,2016.0,11000.0,First Owner,Dealer,5.0,Petrol,Automatic,14.3,1598.0,103.5,7814.39
156,2018.0,18000.0,First Owner,Dealer,5.0,Petrol,Automatic,15.04,1991.0,183.0,30894.11
157,2014.0,46100.0,First Owner,Dealer,7.0,Petrol,Manual,16.02,1373.0,93.7,7257.09
158,2017.0,16000.0,First Owner,Dealer,5.0,Petrol,Automatic,14.74,1991.0,181.04,32711.41
159,2017.0,18000.0,First Owner,Dealer,5.0,Petrol,Automatic,15.6,1497.0,116.3,10600.92
160,2019.0,9654.0,First Owner,Dealer,5.0,Petrol,Automatic,19.56,1197.0,81.8,
161,2011.0,11000.0,First Owner,Dealer,5.0,Petrol,Manual,23.95,998.0,67.05,2120.18
162,2012.0,24300.0,First Owner,Dealer,5.0,Petrol,Manual,21.21,1197.0,81.8,4119.21
164,2018.0,8000.0,First Owner,Dealer,5.0,Diesel,Automatic,21.5,1497.0,108.5,12418.22
165,2016.0,30000.0,First Owner,Dealer,5.0,Diesel,Automatic,22.69,1995.0,190.0,26047.98
166,2016.0,,First Owner,Dealer,5.0,Petrol,Automatic,,2494.0,157.7,23019.14
167,2016.0,12000.0,First Owner,Dealer,5.0,Diesel,Automatic,18.12,1995.0,190.0,35134.48
168,2009.0,71000.0,First Owner,Dealer,5.0,Petrol,Automatic,12.1,2362.0,164.7,5451.9
169,2016.0,20000.0,First Owner,Individual,7.0,Petrol,Manual,17.5,1373.0,91.1,10298.04
170,2017.0,30000.0,First Owner,Individual,4.0,Petrol,Automatic,42.0,1969.0,400.0,121153.38
171,2011.0,100000.0,Second Owner,Individual,5.0,Diesel,Manual,20.54,1598.0,103.6,3634.6
172,2018.0,9500.0,First Owner,Individual,5.0,Petrol,Manual,18.16,1196.0,86.8,6966.32
174,2015.0,36600.0,First Owner,Individual,5.0,Petrol,Manual,20.4,1197.0,81.8,6239.4
175,2015.0,50000.0,Second Owner,Individual,5.0,Petrol,Automatic,20.51,998.0,67.0,
176,2016.0,14000.0,Second Owner,Individual,5.0,Petrol,Manual,18.6,78.0,81.83,6663.44
177,1999.0,40000.0,Second Owner,Individual,4.0,Petrol,Manual,16.1,796.0,37.0,484.61
178,2010.0,120000.0,First Owner,Individual,5.0,Diesel,Manual,21.1,1248.0,73.9,2665.37
179,2015.0,70000.0,First Owner,Individual,5.0,Petrol,Manual,18.9,1197.0,82.0,5149.02
180,2019.0,13000.0,First Owner,Individual,5.0,Petrol,Manual,19.44,999.0,75.0,5815.36
181,2014.0,60000.0,Second Owner,Individual,5.0,Petrol,Manual,18.9,1197.0,82.0,4846.14
182,2014.0,35000.0,First Owner,Individual,5.0,Petrol,Manual,19.1,1197.0,85.8,5900.17
183,2016.0,44000.0,Second Owner,Individual,5.0,Petrol,Manual,19.1,1197.0,82.0,4676.52
184,2005.0,120000.0,Second Owner,Individual,5.0,Petrol,Manual,13.0,1493.0,100.0,1211.53
185,2010.0,60000.0,First Owner,Individual,5.0,Diesel,Manual,21.43,1364.0,87.2,3634.6
186,2000.0,60000.0,First Owner,Individual,5.0,Petrol,Manual,18.5,141.0,53.0,1211.53
187,2014.0,30000.0,Second Owner,Individual,7.0,Diesel,Manual,13.0,2982.0,168.5,
189,2017.0,90000.0,First Owner,Individual,5.0,Diesel,Manual,22.95,1248.0,74.0,5936.52
190,2009.0,,Second Owner,Individual,5.0,Petrol,Manual,,1497.0,118.0,4179.79
192,2010.0,120600.0,Second Owner,Individual,5.0,Petrol,Manual,18.9,998.0,67.1,2604.8
193,2010.0,100000.0,Third Owner,Individual,5.0,Petrol,Manual,16.2,1599.0,103.2,3876.91
194,2016.0,60000.0,Second Owner,Individual,5.0,Petrol,Manual,20.85,1197.0,83.14,5573.04
195,2005.0,86000.0,First Owner,Individual,5.0,Petrol,Manual,15.3,1341.0,83.0,787.5
196,2020.0,,First Owner,Individual,5.0,Petrol,Manual,,1197.0,81.86,8723.04
197,2017.0,37000.0,First Owner,Individual,5.0,Diesel,Manual,28.09,1248.0,88.5,9692.27
198,2019.0,14000.0,First Owner,Individual,5.0,Petrol,Manual,20.3,1199.0,84.0,6299.98
201,2015.0,50000.0,First Owner,Individual,5.0,Petrol,Manual,17.4,1497.0,117.3,7269.2
202,2014.0,60000.0,Second Owner,Individual,5.0,Petrol,Manual,19.4,1198.0,86.8,3513.45
203,2016.0,50000.0,First Owner,Individual,5.0,CNG,Manual,37.24,998.0,58.16,4361.52
204,2017.0,50000.0,First Owner,Individual,5.0,Petrol,Manual,20.85,1197.0,83.14,6663.44
207,2018.0,35000.0,First Owner,Individual,5.0,Petrol,Automatic,20.51,998.0,67.0,5088.44
209,2018.0,20000.0,First Owner,Individual,5.0,Petrol,Manual,24.7,796.0,47.3,3271.14
210,2018.0,7800.0,First Owner,Individual,5.0,Petrol,Automatic,22.0,1197.0,81.8,8480.74
211,2017.0,20000.0,First Owner,Individual,5.0,Petrol,Manual,20.4,15372.0,81.8,6057.67
213,2013.0,31377.0,Second Owner,Individual,5.0,Petrol,Manual,18.5,1197.0,82.85,3876.91
215,2015.0,60000.0,First Owner,Individual,5.0,Petrol,Manual,20.51,998.0,67.04,3513.45
216,2012.0,100000.0,First Owner,Individual,5.0,Petrol,Automatic,14.53,1794.0,138.1,6663.44
217,2012.0,60000.0,First Owner,Individual,5.0,Petrol,Manual,19.4,1198.0,86.8,3210.56
218,,5000.0,,Individual,5.0,Petrol,Automatic,21.4,1197.0,83.1,10055.73
219,2017.0,60000.0,First Owner,Individual,7.0,Diesel,Manual,14.1,2179.0,147.94,9692.27
220,2011.0,25000.0,Second Owner,Individual,5.0,Petrol,Manual,19.7,796.0,46.3,1938.45
221,2018.0,30000.0,First Owner,Individual,5.0,Petrol,Manual,25.17,,,4058.64
222,2017.0,80000.0,Second Owner,Individual,5.0,Petrol,Manual,20.63,1198.0,67.0,3985.95
223,2017.0,75000.0,First Owner,Individual,5.0,Diesel,Manual,24.3,1248.0,88.5,
224,2020.0,32000.0,First Owner,Individual,5.0,Petrol,Manual,20.14,1197.0,81.86,6348.44
225,2015.0,40000.0,First Owner,Individual,5.0,Petrol,Manual,22.74,90.0,47.3,2968.26
226,,93000.0,,Individual,5.0,Petrol,Manual,17.0,1197.0,80.0,3331.72
227,2018.0,60000.0,First Owner,Individual,5.0,Petrol,Manual,17.57,1193.0,88.7,6299.98
229,2014.0,37000.0,First Owner,Individual,5.0,Petrol,Manual,16.95,1498.0,97.7,
230,2018.0,15000.0,First Owner,Individual,5.0,Petrol,Manual,17.0,1497.0,1196.77,11024.96
231,2015.0,80000.0,First Owner,Individual,5.0,Petrol,Manual,19.49,1198.0,67.04,3634.6
232,2016.0,140000.0,First Owner,Individual,5.0,Petrol,Manual,20.51,998.0,67.04,4240.37
233,2013.0,70000.0,First Owner,Individual,7.0,Diesel,Manual,12.83,2696.0,162.0,10903.8
234,2013.0,120000.0,Second Owner,Individual,7.0,Diesel,Manual,17.21,1493.0,100.0,3634.6
235,2010.0,110000.0,Second Owner,Individual,5.0,Diesel,Manual,21.1,1248.0,73.9,3028.83
236,2017.0,37000.0,First Owner,Individual,5.0,Diesel,Manual,19.67,1582.0,126.2,13326.87
238,2015.0,80000.0,First Owner,Individual,7.0,Diesel,Manual,20.77,1248.0,88.76,7753.82
239,2015.0,,First Owner,Individual,7.0,Diesel,Manual,,2179.0,140.0,7874.97
240,2017.0,13500.0,First Owner,Individual,5.0,Petrol,Manual,15.37,1196.0,73.0,4967.28
241,2011.0,75000.0,First Owner,Individual,5.0,Petrol,Manual,17.92,1086.0,62.1,1999.03
242,2007.0,120000.0,Second Owner,Individual,5.0,Petrol,Manual,13.2,1495.0,94.0,969.23
243,2012.0,120000.0,First Owner,Individual,7.0,Diesel,Manual,15.1,2179.0,140.0,6481.71
244,,70000.0,,Individual,7.0,Diesel,Manual,12.99,2494.0,100.57,8480.74
245,2013.0,70000.0,First Owner,Individual,5.0,Diesel,Manual,23.4,1248.0,74.0,6663.44
246,2019.0,15000.0,First Owner,Individual,5.0,Petrol,Automatic,19.0,1199.0,88.76,8238.43
247,2009.0,53000.0,Second Owner,Individual,5.0,Petrol,Manual,20.36,1197.0,78.9,
248,2014.0,120000.0,Second Owner,Individual,5.0,Diesel,Manual,23.4,1248.0,74.0,6057.67
249,2016.0,70000.0,First Owner,Individual,7.0,Diesel,Manual,24.52,1248.0,88.5,12115.34
250,2008.0,120000.0,Second Owner,Individual,5.0,Petrol,Manual,14.2,1341.0,82.9,1332.69
251,2012.0,100000.0,Second Owner,Individual,5.0,Petrol,Manual,18.5,1197.0,80.0,
253,2015.0,100000.0,First Owner,Individual,5.0,Petrol,Manual,20.4,18484.0,83.11,4240.37
254,2013.0,162500.0,First Owner,Individual,5.0,Diesel,Manual,19.4,1405.0,70.0,
255,2017.0,39000.0,First Owner,Individual,5.0,Diesel,Manual,22.54,1396.0,88.73,9692.27
256,,75000.0,,Individual,5.0,Diesel,Manual,26.8,1248.0,74.0,6057.67
257,2017.0,50000.0,First Owner,Individual,7.0,Diesel,Automatic,17.6,2179.0,153.86,16719.17
259,2013.0,92500.0,First Owner,Individual,5.0,Diesel,Manual,22.32,1582.0,126.3,6421.13
260,2012.0,158000.0,First Owner,Individual,5.0,Diesel,Manual,23.4,1248.0,74.0,4361.52
261,2012.0,120000.0,First Owner,Individual,5.0,Diesel,Manual,19.3,1248.0,73.9,3755.75
262,2015.0,50000.0,Second Owner,Individual,5.0,Diesel,Manual,26.0,1498.0,98.6,8783.62
263,2012.0,110000.0,First Owner,Individual,5.0,Diesel,Manual,19.3,1248.0,73.9,4119.21
265,2011.0,181000.0,Second Owner,Individual,7.0,Diesel,Manual,11.5,2982.0,171.0,13932.64
266,2016.0,70000.0,First Owner,Individual,5.0,Diesel,Manual,27.28,1047.0,69.0,4603.83
267,2013.0,90000.0,Second Owner,Individual,5.0,Petrol,Automatic,17.97,1498.0,99.6,4240.37
268,2019.0,2000.0,First Owner,Individual,5.0,Petrol,Manual,18.6,1197.0,81.86,7390.36
269,2015.0,20000.0,First Owner,Individual,5.0,Petrol,Manual,20.85,1197.0,83.14,6360.55
270,2011.0,120000.0,First Owner,Individual,7.0,Diesel,Manual,12.8,2494.0,102.0,5815.36
271,2017.0,35000.0,First Owner,Individual,6.0,Diesel,Manual,16.55,2498.0,105.0,9449.96
272,2012.0,193000.0,First Owner,Individual,5.0,Diesel,Manual,19.3,1248.0,73.9,3876.91
273,2014.0,80000.0,First Owner,Individual,5.0,Petrol,Manual,20.4,1197.0,81.8,
274,2019.0,40000.0,First Owner,Individual,5.0,Petrol,Manual,19.02,1198.0,67.05,3634.6
275,2015.0,70000.0,Fourth & Above Owner,Individual,5.0,Diesel,Manual,22.54,1396.0,88.73,6057.67
276,2011.0,122358.0,First Owner,Individual,9.0,Diesel,Manual,12.05,2179.0,120.0,4894.6
277,2015.0,75000.0,First Owner,Individual,7.0,Diesel,Manual,14.07,2956.0,69.01,6057.67
278,2017.0,120000.0,First Owner,Individual,5.0,Diesel,Manual,27.28,1047.0,69.0,4240.37
279,2015.0,40000.0,First Owner,Individual,5.0,Petrol,Manual,17.57,1193.0,88.7,4603.83
281,2014.0,33033.0,First Owner,Dealer,5.0,Petrol,Manual,19.4,1198.0,86.8,4058.64
283,2012.0,60000.0,First Owner,Individual,5.0,Diesel,Manual,21.02,1248.0,88.76,3513.45
284,2005.0,45000.0,Second Owner,Individual,5.0,Petrol,Manual,19.7,796.0,46.3,1332.69
285,2011.0,80000.0,Third Owner,Individual,7.0,Diesel,Manual,11.57,2179.0,138.1,5451.9
286,2009.0,170000.0,Second Owner,Individual,7.0,Diesel,Manual,13.6,2523.0,63.0,4846.14
287,2007.0,207890.0,Second Owner,Individual,7.0,Diesel,Manual,13.6,2523.0,63.0,2544.22
288,2018.0,7976.0,First Owner,Individual,5.0,Diesel,Automatic,17.9,,,55730.55
289,2016.0,35000.0,First Owner,Individual,8.0,Petrol,Manual,16.8,796.0,34.2,2665.37
290,2017.0,35000.0,First Owner,Individual,5.0,Petrol,Manual,18.9,1197.0,82.0,5451.9
291,2017.0,,First Owner,Individual,5.0,Petrol,Manual,,1197.0,82.0,5451.9
292,2013.0,50000.0,First Owner,Individual,5.0,Petrol,Automatic,16.95,1197.0,78.9,3513.45
294,2011.0,20000.0,First Owner,Individual,5.0,Petrol,Automatic,16.95,1197.0,78.9,3210.56
295,2012.0,50000.0,Second Owner,Individual,5.0,Petrol,Manual,18.6,1197.0,85.8,3998.06
297,2014.0,120000.0,First Owner,Individual,7.0,Diesel,Manual,15.96,2523.0,62.1,
299,2015.0,50000.0,First Owner,Individual,5.0,Petrol,Manual,17.19,1197.0,81.86,6360.55
300,2019.0,16500.0,First Owner,Individual,5.0,Petrol,Manual,21.01,1197.0,81.8,8177.85
302,2005.0,99361.0,Second Owner,Individual,5.0,Petrol,Manual,19.7,796.0,46.3,1090.38
303,2017.0,25000.0,First Owner,Individual,5.0,Diesel,Manual,26.59,1248.0,74.0,7874.97
304,2014.0,70000.0,Second Owner,Individual,5.0,Petrol,Manual,19.1,1197.0,85.8,4955.17
305,2015.0,,Second Owner,Individual,5.0,Diesel,Manual,,1120.0,70.0,4785.56
307,2014.0,70000.0,Second Owner,Individual,5.0,Petrol,Manual,19.1,1197.0,85.8,4846.14
308,2012.0,60000.0,Third Owner,Individual,5.0,Petrol,Manual,18.6,1199.0,79.4,1453.84
309,2018.0,10000.0,First Owner,Individual,5.0,Petrol,Automatic,20.3,1199.0,84.0,7814.39
310,2006.0,80000.0,First Owner,Individual,4.0,Petrol,Manual,16.1,796.0,37.0,981.34
311,2017.0,30000.0,First Owner,Individual,5.0,Diesel,Manual,25.6,1498.0,97.9,15749.94
312,2017.0,33000.0,First Owner,Individual,5.0,Diesel,Manual,25.6,1498.0,97.9,15144.17
